scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Prototransversotrema steeri	(Angel, 1969)          	Lates calcarifer	Queensland	Northeast Australian Shelf
Transversotrema patialense	(Soparkar, 1924)          	Lates calcarifer	Coast of Philippines	Western Coral Triangle
Erilepturus hamati	(Yamaguti, 1934)          	Lates calcarifer	Australia: Coast of N Territories	Sahul Shelf
Erilepturus hamati	(Yamaguti, 1934)          	Lates calcarifer	Coast of Philippines	Western Coral Triangle
Cruoricola lates	Herbert, Shaharom-Harrison & Overstreet, 1994        	Lates calcarifer	Queensland	Northeast Australian Shelf
Prosorhynchus luzonicus	Velasquez, 1959          	Lates calcarifer	Coast of Philippines	Western Coral Triangle
Pseudometadena celebesensis	Yamaguti, 1952          	Lates calcarifer	Coast of Philippines	Western Coral Triangle
Biovarium xiamenense	Liu, 1996          	Lateolabrax japonicus	South China Sea	South China Sea
Stephanostomum lateolabracis	Liu, 1998          	Lateolabrax japonicus	South China Sea	South China Sea
Plagioporus eleutheronemae	Wang, Wang & Zhang, 1992        	Lateolabrax japonicus	South China Sea	South China Sea
Heterolebes dongshanensis	Liu, 1999          	Lagocephalus lunaris spadiceus	South China Sea	South China Sea
Heterolebes lagocephali	Liu, 1999          	Lagocephalus lunaris spadiceus	South China Sea	South China Sea
Opistholebes dongshanensis	Liu, 1999          	Lagocephalus lunaris spadiceus	South China Sea	South China Sea
Bianium plicitum	(Linton, 1928)          	Lagocephalus inermis	Australia: Coast of Queensland	Northeast Australian Shelf
Rhipidocotyle labroidei	Jones, Grutter & Cribb, 2003        	Labroides dimidiatus	Australia: Coast of Queensland	Northeast Australian Shelf
Machidatrema chilostoma	(Machida, 1980)          	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Cadenatella pacifica	(Yamaguti, 1970)          	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Machidatrema kyphosi	(Yamaguti, 1970)          	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Koseiria xishaensis	Gu & Shen, 1983        	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Enenterum aureum	Linton, 1910          	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Opisthadena dimidia	Linton, 1910          	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Cadenatella isuzumi	Machida, 1993          	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Enenterum elongatum	Yamaguti, 1970          	Kyphosus vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Machidatrema chilostoma	(Machida, 1980)          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Cadenatella pacifica	(Yamaguti, 1970)          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Machidatrema kyphosi	(Yamaguti, 1970)          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Cadenatella pacifica	(Yamaguti, 1970)          	Kyphosus cinerascens	Australia: Coast of Queensland	Northeast Australian Shelf
Koseiria xishaensis	Gu & Shen, 1983        	Kyphosus cinerascens	Australia: Coast of Queensland	Northeast Australian Shelf
Opisthadena dimidia	Linton, 1910          	Kyphosus cinerascens	Hawaiian coast	Hawaii
Opisthadena dimidia	Linton, 1910          	Kyphosus cinerascens	Australia: Coast of Queensland	Northeast Australian Shelf
