Species	South_China_Sea	Sunda_Shelf	Java_Transitional	South_Kuroshio	Tropical_Northwestern_Pacific	Western_Coral_Triangle	Eastern_Coral_Triangle	Sahul_Shelf	Northeast_Australian_Shelf	Northwest_Australian_Shelf	Tropical_Southwestern_Pacific	Lord_Howe_and_Norfolk_Islands	Hawaii	Marshall_Gilbert_and_Ellis_Islands	Central_Polynesia	Southeast_Polynesia	Marquesas	Easter_Island
Ambassis gymnocephalus	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
Ambassis kopsii	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ambassis reticulata	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Amblychaeturichthys hexanema	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblychaeturichthys sciistius	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblycirrhitus bimacula	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
Amblycirrhitus unimacula	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0
Amblyeleotris arcupinna	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0
Amblyeleotris aurora	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris bellicauda	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Amblyeleotris biguttata	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Amblyeleotris callopareia	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Amblyeleotris diagonalis	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Amblyeleotris downingi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris ellipse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Amblyeleotris exilis	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Amblyeleotris fasciata	0	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0
Amblyeleotris fontanesii	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Amblyeleotris guttata	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Amblyeleotris gymnocephala	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0
Amblyeleotris harrisorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Amblyeleotris japonica	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris latifasciata	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
Amblyeleotris macronema	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Amblyeleotris marquesas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Amblyeleotris masuii	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris neumanni	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris novaecaledoniae	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Amblyeleotris ogasawarensis	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0
Amblyeleotris periophthalma	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Amblyeleotris randalli	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0
Amblyeleotris rhyax	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0
Amblyeleotris rubrimarginata	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Amblyeleotris steinitzi	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Amblyeleotris stenotaeniata	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Amblyeleotris sungami	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris wheeleri	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Amblyeleotris yanoi	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0
Amblygaster clupeoides	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
Amblygaster sirm	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Amblyglyphidodon aureus	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Amblyglyphidodon batunai	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
Amblyglyphidodon curacao	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Amblyglyphidodon indicus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amblyglyphidodon leucogaster	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0
Amblyglyphidodon melanopterus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
